model,feature_subset,data_branch,tuning_branch,tuning_method,validation_type,augmentation_strategy,branch_id,n_features,MAE,RMSE,R2,MAPE_%,n_train,n_train_original,n_train_augmented,n_test,n_folds,notes
DummyRegressor,SOLO_R,N,CT,none,loeo,none,SOLO_R_N_CT_random,99,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,9,9,0,10,10,
Ridge,SOLO_R,N,CT,random,loeo,none,SOLO_R_N_CT_random,99,53.96599498257531,93.68938265805167,-1.4371060315704103,31.592724335296484,9,9,0,10,10,
Lasso,SOLO_R,N,CT,random,loeo,none,SOLO_R_N_CT_random,99,37.53026424159558,43.80970041639095,0.46711409072576326,23.458665886124805,9,9,0,10,10,
ElasticNet,SOLO_R,N,CT,random,loeo,none,SOLO_R_N_CT_random,99,33.261153534108395,37.38160503591478,0.6120198031865237,21.784892753433272,9,9,0,10,10,
SVR,SOLO_R,N,CT,random,loeo,none,SOLO_R_N_CT_random,99,49.79410008462102,63.976650429771055,-0.13641423893036997,35.01930058931643,9,9,0,10,10,
RandomForest,SOLO_R,N,CT,random,loeo,none,SOLO_R_N_CT_random,99,47.1365,59.06075865157845,0.031517645188786525,30.72500163443353,9,9,0,10,10,
XGBoost,SOLO_R,N,CT,random,loeo,none,SOLO_R_N_CT_random,99,43.34657669067383,57.06189238316583,0.09596340541579151,27.135733546738134,9,9,0,10,10,
MLP,SOLO_R,N,CT,none,loeo,none,SOLO_R_N_CT_random,99,273.5412853046249,682.3303351009896,-128.26561869539822,119.5560800341958,9,9,0,10,10,
