model,feature_subset,data_branch,tuning_branch,tuning_method,validation_type,augmentation_strategy,branch_id,n_features,MAE,RMSE,R2,MAPE_%,n_train,n_train_original,n_train_augmented,n_test,n_folds,notes
DummyRegressor,SOLO_R,A,ST,none,loeo,feature_noise,SOLO_R_A_ST_feature_noise,99,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,SOLO_R,A,ST,none,loeo,feature_noise,SOLO_R_A_ST_feature_noise,99,52.37595621929823,90.29945464377205,-1.2639348497407172,30.679341457964526,36,9,27,10,10,
Lasso,SOLO_R,A,ST,none,loeo,feature_noise,SOLO_R_A_ST_feature_noise,99,37.72273154551972,44.17345481086249,0.45822819011982985,23.54870667833791,36,9,27,10,10,
ElasticNet,SOLO_R,A,ST,none,loeo,feature_noise,SOLO_R_A_ST_feature_noise,99,31.04630895496855,40.50616987342629,0.5444500226796678,20.560324786648717,36,9,27,10,10,
SVR,SOLO_R,A,ST,none,loeo,feature_noise,SOLO_R_A_ST_feature_noise,99,53.208002483101566,64.11504793639656,-0.1413362537826488,35.441013984078005,36,9,27,10,10,
RandomForest,SOLO_R,A,ST,none,loeo,feature_noise,SOLO_R_A_ST_feature_noise,99,51.21884365079366,63.98582642643383,-0.1367402479041,32.99750815500826,36,9,27,10,10,
XGBoost,SOLO_R,A,ST,none,loeo,feature_noise,SOLO_R_A_ST_feature_noise,99,47.4587905883789,59.74654485261384,0.008895928904098516,29.490822765224706,36,9,27,10,10,
MLP,SOLO_R,A,ST,none,loeo,feature_noise,SOLO_R_A_ST_feature_noise,99,283.9088049886122,704.2080390975418,-136.6878527384658,124.93123071921725,36,9,27,10,10,
