data_branch,augmentation_strategy,best_MAE_CT_grid,best_MAE_ST,best_MAE_CT_random,delta_random_vs_none,delta_grid_vs_none,delta_grid_vs_random
A,feature_noise,26.864211235969503,21.238655974199933,26.864211235969503,5.62555526176957,5.62555526176957,0.0
A,feature_scaling,22.22047010663722,23.885003115543157,22.22047010663722,-1.6645330089059378,-1.6645330089059378,0.0
A,grouped_scaling,22.739947537205484,23.905328082863953,22.739947537205484,-1.1653805456584685,-1.1653805456584685,0.0
N,none,18.78953938123773,21.630867359730587,18.78953938123773,-2.8413279784928562,-2.8413279784928562,0.0
