model,feature_subset,data_branch,tuning_branch,tuning_method,validation_type,augmentation_strategy,branch_id,n_features,MAE,RMSE,R2,MAPE_%,n_train,n_train_original,n_train_augmented,n_test,n_folds,notes
DummyRegressor,SOLO_R,N,ST,none,loeo,none,SOLO_R_N_ST,99,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,9,9,0,10,10,
Ridge,SOLO_R,N,ST,none,loeo,none,SOLO_R_N_ST,99,48.68942467274201,84.29088249161344,-0.9726719598896592,28.051581296177307,9,9,0,10,10,
Lasso,SOLO_R,N,ST,none,loeo,none,SOLO_R_N_ST,99,37.530264241595646,43.80970041639098,0.4671140907257627,23.458665886124898,9,9,0,10,10,
ElasticNet,SOLO_R,N,ST,none,loeo,none,SOLO_R_N_ST,99,30.947568337376413,40.38287131045268,0.5472191401046226,20.522088167744663,9,9,0,10,10,
SVR,SOLO_R,N,ST,none,loeo,none,SOLO_R_N_ST,99,56.57074862033271,66.06663648859205,-0.21187566306810468,37.2277903748075,9,9,0,10,10,
RandomForest,SOLO_R,N,ST,none,loeo,none,SOLO_R_N_ST,99,47.380425000000024,59.095984945629695,0.030362014306036578,31.743312908188305,9,9,0,10,10,
XGBoost,SOLO_R,N,ST,none,loeo,none,SOLO_R_N_ST,99,44.03835525512695,58.50942457270663,0.04951487667477039,27.828235621720072,9,9,0,10,10,
MLP,SOLO_R,N,ST,none,loeo,none,SOLO_R_N_ST,99,273.5412853046249,682.3303351009896,-128.26561869539822,119.5560800341958,9,9,0,10,10,
