model,feature_subset,data_branch,tuning_branch,tuning_method,validation_type,augmentation_strategy,branch_id,n_features,MAE,RMSE,R2,MAPE_%,n_train,n_train_original,n_train_augmented,n_test,n_folds,notes
DummyRegressor,FUSION,A,CT,none,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,203,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,FUSION,A,CT,grid,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,203,43.120823626013006,68.93643390002389,-0.3194450157710307,25.79234720762974,36,9,27,10,10,
Lasso,FUSION,A,CT,grid,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,203,35.14329796436037,41.32056963284511,0.5259476871183246,22.013045688510086,36,9,27,10,10,
ElasticNet,FUSION,A,CT,grid,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,203,27.33827019113839,34.325109221720645,0.6728721452753981,17.959630966016153,36,9,27,10,10,
SVR,FUSION,A,CT,grid,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,203,53.88025844387572,65.48391396533992,-0.19059191330182257,35.06314783415158,36,9,27,10,10,
RandomForest,FUSION,A,CT,grid,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,203,56.57054877344876,67.9553400149958,-0.28215594250301623,37.4494611880735,36,9,27,10,10,
XGBoost,FUSION,A,CT,grid,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,203,45.762108612060544,54.28856783257799,0.1817039786010396,28.171176003283033,36,9,27,10,10,
MLP,FUSION,A,CT,none,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,203,181.91200927884802,413.70092144666427,-46.51892928203679,84.43604686048722,36,9,27,10,10,
