model,feature_subset,data_branch,tuning_branch,tuning_method,validation_type,augmentation_strategy,branch_id,n_features,MAE,RMSE,R2,MAPE_%,n_train,n_train_original,n_train_augmented,n_test,n_folds,notes
DummyRegressor,FUSION,A,CT,none,loeo,feature_noise,FUSION_A_CT_grid_feature_noise,203,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,FUSION,A,CT,grid,loeo,feature_noise,FUSION_A_CT_grid_feature_noise,203,41.51559510077402,64.01920604083557,-0.13792656838843897,25.419786505838417,36,9,27,10,10,
Lasso,FUSION,A,CT,grid,loeo,feature_noise,FUSION_A_CT_grid_feature_noise,203,35.98316857921169,48.208122937141184,0.35474093630420234,22.197747111766837,36,9,27,10,10,
ElasticNet,FUSION,A,CT,grid,loeo,feature_noise,FUSION_A_CT_grid_feature_noise,203,36.62542542163622,55.8801552157735,0.13302040238362056,22.002929265498,36,9,27,10,10,
SVR,FUSION,A,CT,grid,loeo,feature_noise,FUSION_A_CT_grid_feature_noise,203,53.744260977424496,65.40412065353831,-0.18769216630598362,34.946902750369084,36,9,27,10,10,
RandomForest,FUSION,A,CT,grid,loeo,feature_noise,FUSION_A_CT_grid_feature_noise,203,52.61800000000001,65.76049045589609,-0.2006702700676628,34.18889067753754,36,9,27,10,10,
XGBoost,FUSION,A,CT,grid,loeo,feature_noise,FUSION_A_CT_grid_feature_noise,203,51.489996337890624,62.83440995587233,-0.09619736137830515,32.41715345139697,36,9,27,10,10,
MLP,FUSION,A,CT,none,loeo,feature_noise,FUSION_A_CT_grid_feature_noise,203,162.26953921491787,347.87750455825153,-32.60054812537346,79.38842953058452,36,9,27,10,10,
