model,feature_subset,data_branch,tuning_method,augmentation_strategy,branch_id,n_features,best_params,best_cv_score_mae,scoring,cv_strategy,notes
RandomForest,FUSION,A,grid,feature_noise,FUSION_A_CT_grid_feature_noise,203,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}",51.76675,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 36}"
XGBoost,FUSION,A,grid,feature_noise,FUSION_A_CT_grid_feature_noise,203,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__n_estimators"": 100, ""model__reg_lambda"": 5, ""model__subsample"": 0.8}",39.718696975708006,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 54}"
MLP,FUSION,A,none,feature_noise,FUSION_A_CT_grid_feature_noise,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,FUSION,A,none,feature_scaling,FUSION_A_ST_feature_scaling,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,FUSION,A,none,feature_scaling,FUSION_A_ST_feature_scaling,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Lasso,FUSION,A,none,feature_scaling,FUSION_A_ST_feature_scaling,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
ElasticNet,FUSION,A,none,feature_scaling,FUSION_A_ST_feature_scaling,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
SVR,FUSION,A,none,feature_scaling,FUSION_A_ST_feature_scaling,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
RandomForest,FUSION,A,none,feature_scaling,FUSION_A_ST_feature_scaling,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
XGBoost,FUSION,A,none,feature_scaling,FUSION_A_ST_feature_scaling,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
