model,feature_subset,data_branch,tuning_branch,tuning_method,validation_type,augmentation_strategy,branch_id,n_features,MAE,RMSE,R2,MAPE_%,n_train,n_train_original,n_train_augmented,n_test,n_folds,notes
DummyRegressor,SOLO_A,N,ST,none,loeo,none,SOLO_A_N_ST,101,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,9,9,0,10,10,
Ridge,SOLO_A,N,ST,none,loeo,none,SOLO_A_N_ST,101,26.12881150058157,32.014206578279534,0.715436524843405,18.660413903313625,9,9,0,10,10,
Lasso,SOLO_A,N,ST,none,loeo,none,SOLO_A_N_ST,101,31.320645966276647,42.81605893859272,0.49101257936328624,19.733605229865358,9,9,0,10,10,
ElasticNet,SOLO_A,N,ST,none,loeo,none,SOLO_A_N_ST,101,21.630867359730587,29.111669986024804,0.7646967591949286,14.835469160923353,9,9,0,10,10,
SVR,SOLO_A,N,ST,none,loeo,none,SOLO_A_N_ST,101,63.22877640606871,72.435452426922,-0.45678688845871807,41.08606717060576,9,9,0,10,10,
RandomForest,SOLO_A,N,ST,none,loeo,none,SOLO_A_N_ST,101,52.705002380952365,62.73173022808753,-0.0926176260060001,36.270643577884464,9,9,0,10,10,
XGBoost,SOLO_A,N,ST,none,loeo,none,SOLO_A_N_ST,101,50.874935913085935,64.24974411253773,-0.14613684646001635,31.72922565800109,9,9,0,10,10,
MLP,SOLO_A,N,ST,none,loeo,none,SOLO_A_N_ST,101,185.56489114068694,292.9567716573119,-22.828722088762323,119.27951530722432,9,9,0,10,10,
