model,feature_subset,data_branch,tuning_branch,tuning_method,validation_type,augmentation_strategy,branch_id,n_features,MAE,RMSE,R2,MAPE_%,n_train,n_train_original,n_train_augmented,n_test,n_folds,notes
DummyRegressor,SOLO_A,A,CT,none,loeo,feature_scaling,SOLO_A_A_CT_random_feature_scaling,101,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,SOLO_A,A,CT,random,loeo,feature_scaling,SOLO_A_A_CT_random_feature_scaling,101,24.631548165110743,31.233786785640778,0.7291411984454885,18.893798494980516,36,9,27,10,10,
Lasso,SOLO_A,A,CT,random,loeo,feature_scaling,SOLO_A_A_CT_random_feature_scaling,101,33.69799136856051,42.60028344765247,0.49612983076824124,22.60999943622827,36,9,27,10,10,
ElasticNet,SOLO_A,A,CT,random,loeo,feature_scaling,SOLO_A_A_CT_random_feature_scaling,101,22.22047010663722,28.68693678667039,0.7715127225823369,17.11798276707304,36,9,27,10,10,
SVR,SOLO_A,A,CT,random,loeo,feature_scaling,SOLO_A_A_CT_random_feature_scaling,101,53.0014367125646,64.7106845241934,-0.16264106338682205,36.103154309103594,36,9,27,10,10,
RandomForest,SOLO_A,A,CT,random,loeo,feature_scaling,SOLO_A_A_CT_random_feature_scaling,101,51.67747142857142,61.54837713697075,-0.051784781087429455,33.9304742463885,36,9,27,10,10,
XGBoost,SOLO_A,A,CT,random,loeo,feature_scaling,SOLO_A_A_CT_random_feature_scaling,101,46.379144287109376,57.17875660049833,0.09225663330852152,27.780211621236973,36,9,27,10,10,
MLP,SOLO_A,A,CT,none,loeo,feature_scaling,SOLO_A_A_CT_random_feature_scaling,101,193.61989992944444,325.16445879258293,-28.35619813528465,112.53984252492579,36,9,27,10,10,
