model,feature_subset,data_branch,tuning_branch,tuning_method,validation_type,augmentation_strategy,branch_id,n_features,MAE,RMSE,R2,MAPE_%,n_train,n_train_original,n_train_augmented,n_test,n_folds,notes
DummyRegressor,SOLO_R,A,CT,none,loeo,feature_scaling,SOLO_R_A_CT_random_feature_scaling,99,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,SOLO_R,A,CT,random,loeo,feature_scaling,SOLO_R_A_CT_random_feature_scaling,99,62.23616444673572,120.51205310416967,-3.032316757794871,33.97205284765703,36,9,27,10,10,
Lasso,SOLO_R,A,CT,random,loeo,feature_scaling,SOLO_R_A_CT_random_feature_scaling,99,37.53363704250829,43.827759986488765,0.4666746595533582,23.573809379989275,36,9,27,10,10,
ElasticNet,SOLO_R,A,CT,random,loeo,feature_scaling,SOLO_R_A_CT_random_feature_scaling,99,31.24386571766441,37.19559634847329,0.6158713304813686,20.521029601140388,36,9,27,10,10,
SVR,SOLO_R,A,CT,random,loeo,feature_scaling,SOLO_R_A_CT_random_feature_scaling,99,53.21545190667391,64.2505516756848,-0.1461656585185962,35.389669276810565,36,9,27,10,10,
RandomForest,SOLO_R,A,CT,random,loeo,feature_scaling,SOLO_R_A_CT_random_feature_scaling,99,52.678719769119745,64.53243838510238,-0.15624487502451223,34.88123777558945,36,9,27,10,10,
XGBoost,SOLO_R,A,CT,random,loeo,feature_scaling,SOLO_R_A_CT_random_feature_scaling,99,44.457392883300784,55.453393181843985,0.14621224608997974,28.551343864001716,36,9,27,10,10,
MLP,SOLO_R,A,CT,none,loeo,feature_scaling,SOLO_R_A_CT_random_feature_scaling,99,263.5987937082518,645.4563320590024,-114.67177535963982,116.03320992963222,36,9,27,10,10,
