model,branch_id,data_branch,tuning_method,validation_type_used_for_selection,reason_selected_for_shap,shap_note
ElasticNet,SOLO_A_N_CT_random,S,random,loeo,1st by LOEO MAE,top1=A_p1_skewness (|SHAP|=4.396)
ElasticNet,SOLO_A_N_CT_grid,S,grid,loeo,2nd by LOEO MAE,top1=A_p1_skewness (|SHAP|=4.396)
XGBoost,SOLO_R_A_CT_random_feature_noise,S,random,loeo,best non-linear in LOEO,top1=R_p2_kurtosis (|SHAP|=10.178)
