model,feature,rank,mean_abs_shap,mean_shap
XGBoost_N_CT_random,R_p3_mean,90,0.0,0.0
XGBoost_N_CT_random,A_p3_spectral_centroid_hz,91,0.0,0.0
XGBoost_N_CT_random,R_p3_energy,92,0.0,0.0
XGBoost_N_CT_random,R_p3_crest_factor,93,0.0,0.0
XGBoost_N_CT_random,R_p3_kurtosis,94,0.0,0.0
XGBoost_N_CT_random,R_p3_peak_to_peak,95,0.0,0.0
XGBoost_N_CT_random,R_p3_spectral_energy,96,0.0,0.0
XGBoost_N_CT_random,R_p3_duration_s,97,0.0,0.0
XGBoost_N_CT_random,R_p3_dominant_freq_hz,98,0.0,0.0
XGBoost_N_CT_random,R_p3_n_samples,99,0.0,0.0
XGBoost_N_CT_random,A_p4_std,100,0.0,0.0
XGBoost_N_CT_random,A_p4_mean,101,0.0,0.0
XGBoost_N_CT_random,R_p3_spectral_centroid_hz,102,0.0,0.0
XGBoost_N_CT_random,A_p4_max,103,0.0,0.0
XGBoost_N_CT_random,R_p3_rms,104,0.0,0.0
XGBoost_N_CT_random,A_p3_duration_s,105,0.0,0.0
XGBoost_N_CT_random,A_p3_n_samples,106,0.0,0.0
XGBoost_N_CT_random,A_p3_dominant_freq_hz,107,0.0,0.0
XGBoost_N_CT_random,A_p4_absolute_mean,108,0.0,0.0
XGBoost_N_CT_random,A_p4_energy,109,0.0,0.0
XGBoost_N_CT_random,A_p4_crest_factor,110,0.0,0.0
XGBoost_N_CT_random,A_p4_peak_to_peak,111,0.0,0.0
XGBoost_N_CT_random,A_p4_spectral_centroid_hz,112,0.0,0.0
XGBoost_N_CT_random,R_p4_mean,113,0.0,0.0
XGBoost_N_CT_random,A_p4_dominant_freq_hz,114,0.0,0.0
XGBoost_N_CT_random,A_p4_duration_s,115,0.0,0.0
XGBoost_N_CT_random,R_p4_rms,116,0.0,0.0
XGBoost_N_CT_random,R_p4_max,117,0.0,0.0
XGBoost_N_CT_random,R_p4_peak_to_peak,118,0.0,0.0
XGBoost_N_CT_random,R_p4_min,119,0.0,0.0
XGBoost_N_CT_random,R_p4_skewness,120,0.0,0.0
XGBoost_N_CT_random,R_p4_kurtosis,121,0.0,0.0
XGBoost_N_CT_random,R_p4_std,122,0.0,0.0
XGBoost_N_CT_random,A_p4_spectral_energy,123,0.0,0.0
XGBoost_N_CT_random,R_p4_energy,124,0.0,0.0
XGBoost_N_CT_random,R_p4_crest_factor,125,0.0,0.0
XGBoost_N_CT_random,R_p4_n_samples,126,0.0,0.0
XGBoost_N_CT_random,R_p4_spectral_energy,127,0.0,0.0
XGBoost_N_CT_random,R_p4_spectral_centroid_hz,128,0.0,0.0
XGBoost_N_CT_random,A_p5_mean,129,0.0,0.0
XGBoost_N_CT_random,A_p5_std,130,0.0,0.0
XGBoost_N_CT_random,A_p5_rms,131,0.0,0.0
XGBoost_N_CT_random,A_p5_max,132,0.0,0.0
XGBoost_N_CT_random,A_p5_min,133,0.0,0.0
XGBoost_N_CT_random,A_p5_peak_to_peak,134,0.0,0.0
XGBoost_N_CT_random,A_p5_skewness,135,0.0,0.0
XGBoost_N_CT_random,A_p5_kurtosis,136,0.0,0.0
XGBoost_N_CT_random,A_p5_crest_factor,137,0.0,0.0
XGBoost_N_CT_random,A_p5_energy,138,0.0,0.0
XGBoost_N_CT_random,A_p5_absolute_mean,139,0.0,0.0
XGBoost_N_CT_random,A_p5_duration_s,140,0.0,0.0
XGBoost_N_CT_random,A_p5_n_samples,141,0.0,0.0
XGBoost_N_CT_random,A_p5_dominant_freq_hz,142,0.0,0.0
XGBoost_N_CT_random,A_p5_spectral_energy,143,0.0,0.0
XGBoost_N_CT_random,A_p5_spectral_centroid_hz,144,0.0,0.0
XGBoost_N_CT_random,R_p5_mean,145,0.0,0.0
XGBoost_N_CT_random,R_p5_std,146,0.0,0.0
XGBoost_N_CT_random,R_p5_rms,147,0.0,0.0
XGBoost_N_CT_random,R_p5_max,148,0.0,0.0
XGBoost_N_CT_random,R_p5_min,149,0.0,0.0
XGBoost_N_CT_random,R_p5_peak_to_peak,150,0.0,0.0
XGBoost_N_CT_random,R_p5_skewness,151,0.0,0.0
XGBoost_N_CT_random,R_p5_kurtosis,152,0.0,0.0
XGBoost_N_CT_random,R_p5_crest_factor,153,0.0,0.0
XGBoost_N_CT_random,R_p5_energy,154,0.0,0.0
XGBoost_N_CT_random,R_p5_absolute_mean,155,0.0,0.0
XGBoost_N_CT_random,R_p5_duration_s,156,0.0,0.0
XGBoost_N_CT_random,R_p5_n_samples,157,0.0,0.0
XGBoost_N_CT_random,R_p5_dominant_freq_hz,158,0.0,0.0
XGBoost_N_CT_random,R_p5_spectral_energy,159,0.0,0.0
XGBoost_N_CT_random,R_p5_spectral_centroid_hz,160,0.0,0.0
XGBoost_N_CT_random,A_p6_mean,161,0.0,0.0
XGBoost_N_CT_random,A_p6_std,162,0.0,0.0
XGBoost_N_CT_random,A_p6_rms,163,0.0,0.0
XGBoost_N_CT_random,A_p6_max,164,0.0,0.0
XGBoost_N_CT_random,A_p6_min,165,0.0,0.0
XGBoost_N_CT_random,A_p6_peak_to_peak,166,0.0,0.0
XGBoost_N_CT_random,A_p6_skewness,167,0.0,0.0
