model,experiment_id,feature,shap_value,feature_value
XGBoost_N_CT_random,66,A_p3_peak_to_peak,0.0,221.241654
XGBoost_N_CT_random,66,A_p3_skewness,-5.299104690551758,0.0856057175804861
XGBoost_N_CT_random,66,A_p3_kurtosis,0.0,-0.0300328211597538
XGBoost_N_CT_random,66,A_p3_crest_factor,0.0,3.5052309948587
XGBoost_N_CT_random,66,A_p3_energy,-0.8944149613380432,2698.97315848954
XGBoost_N_CT_random,66,A_p3_absolute_mean,0.0,24.30543147734069
XGBoost_N_CT_random,66,A_p3_duration_s,0.0,2.7028800000000004
XGBoost_N_CT_random,66,A_p3_n_samples,0.0,135145.0
XGBoost_N_CT_random,66,A_p3_dominant_freq_hz,0.0,1908.6906656536712
XGBoost_N_CT_random,66,A_p3_spectral_energy,-0.27488911151885986,9118818187601.72
XGBoost_N_CT_random,66,A_p3_spectral_centroid_hz,0.0,3196.10555813906
XGBoost_N_CT_random,66,R_p3_mean,0.0,1.188368448204678e-16
XGBoost_N_CT_random,66,R_p3_std,0.0,24.11578258744875
XGBoost_N_CT_random,66,R_p3_rms,0.0,24.11578258744875
XGBoost_N_CT_random,66,R_p3_max,-0.21393302083015442,111.65157422823285
XGBoost_N_CT_random,66,R_p3_min,-1.6607434749603271,-98.68694977176716
XGBoost_N_CT_random,66,R_p3_peak_to_peak,0.0,210.338524
XGBoost_N_CT_random,66,R_p3_skewness,-0.09167047590017319,0.0170224949601181
XGBoost_N_CT_random,66,R_p3_kurtosis,0.0,0.1841900696698597
XGBoost_N_CT_random,66,R_p3_crest_factor,0.0,4.629813435386617
XGBoost_N_CT_random,66,R_p3_energy,0.0,1610.6840637140058
XGBoost_N_CT_random,66,R_p3_absolute_mean,-0.18128839135169983,18.347467040653875
XGBoost_N_CT_random,66,R_p3_duration_s,0.0,2.76952
XGBoost_N_CT_random,66,R_p3_n_samples,0.0,138477.0
XGBoost_N_CT_random,66,R_p3_dominant_freq_hz,0.0,1908.620204149468
XGBoost_N_CT_random,66,R_p3_spectral_energy,0.0,5576067427273.108
XGBoost_N_CT_random,66,R_p3_spectral_centroid_hz,0.0,4055.4622277165513
XGBoost_N_CT_random,66,A_p4_mean,0.0,-1.783555778753575e-16
XGBoost_N_CT_random,66,A_p4_std,0.0,29.82078007578842
XGBoost_N_CT_random,66,A_p4_rms,-0.4429619014263153,29.82078007578842
XGBoost_N_CT_random,66,A_p4_max,0.0,112.25373299368287
XGBoost_N_CT_random,66,A_p4_min,-0.44844210147857666,-115.4950310063171
XGBoost_N_CT_random,66,A_p4_peak_to_peak,0.0,227.748764
XGBoost_N_CT_random,66,A_p4_skewness,-0.24456951022148132,0.0352542517936029
XGBoost_N_CT_random,66,A_p4_kurtosis,-0.6974326968193054,0.114476574651082
XGBoost_N_CT_random,66,A_p4_crest_factor,0.0,3.872971488766917
XGBoost_N_CT_random,66,A_p4_energy,0.0,2128.4891053803567
XGBoost_N_CT_random,66,A_p4_absolute_mean,0.0,22.60326461665952
XGBoost_N_CT_random,66,A_p4_duration_s,0.0,2.3934799999999967
XGBoost_N_CT_random,66,A_p4_n_samples,-0.14357692003250122,119675.0
XGBoost_N_CT_random,66,A_p4_dominant_freq_hz,0.0,1792.354292944395
XGBoost_N_CT_random,66,A_p4_spectral_energy,0.0,6368173342159.861
XGBoost_N_CT_random,66,A_p4_spectral_centroid_hz,0.0,3254.951202527221
XGBoost_N_CT_random,66,R_p4_mean,0.0,7.33562503019195e-16
XGBoost_N_CT_random,66,R_p4_std,0.0,22.528309371971112
XGBoost_N_CT_random,66,R_p4_rms,0.0,22.528309371971112
XGBoost_N_CT_random,66,R_p4_max,0.0,107.21731201652592
XGBoost_N_CT_random,66,R_p4_min,0.0,-101.29989198347408
XGBoost_N_CT_random,66,R_p4_peak_to_peak,0.0,208.517204
XGBoost_N_CT_random,66,R_p4_skewness,0.0,-0.111893119584806
XGBoost_N_CT_random,66,R_p4_kurtosis,0.0,0.751369660435314
XGBoost_N_CT_random,66,R_p4_crest_factor,0.0,4.7592258365344415
XGBoost_N_CT_random,66,R_p4_energy,0.0,1287.3973632601949
XGBoost_N_CT_random,66,R_p4_absolute_mean,-0.8041108846664429,16.431338252604874
XGBoost_N_CT_random,66,R_p4_duration_s,-0.24769867956638336,2.5366
XGBoost_N_CT_random,66,R_p4_n_samples,0.0,126831.0
XGBoost_N_CT_random,66,R_p4_dominant_freq_hz,-0.8983191847801208,1792.5428326561089
XGBoost_N_CT_random,66,R_p4_spectral_energy,0.0,4082047374491.3447
XGBoost_N_CT_random,66,R_p4_spectral_centroid_hz,0.0,4019.253903356584
XGBoost_N_CT_random,66,A_p5_mean,0.0,-2.4400397214194545e-16
XGBoost_N_CT_random,66,A_p5_std,0.0,24.64248146728395
XGBoost_N_CT_random,66,A_p5_rms,0.0,24.64248146728395
XGBoost_N_CT_random,66,A_p5_max,0.0,107.30704846145056
XGBoost_N_CT_random,66,A_p5_min,0.0,-101.49666253854944
XGBoost_N_CT_random,66,A_p5_peak_to_peak,0.0,208.803711
XGBoost_N_CT_random,66,A_p5_skewness,0.0,0.0488689781542319
XGBoost_N_CT_random,66,A_p5_kurtosis,0.0,0.4525628241902928
XGBoost_N_CT_random,66,A_p5_crest_factor,0.0,4.354555307423662
XGBoost_N_CT_random,66,A_p5_energy,0.0,1307.1461345064176
XGBoost_N_CT_random,66,A_p5_absolute_mean,0.0,18.12846003472059
XGBoost_N_CT_random,66,A_p5_duration_s,0.0,2.152540000000002
XGBoost_N_CT_random,66,A_p5_n_samples,0.0,107628.0
XGBoost_N_CT_random,66,A_p5_dominant_freq_hz,0.0,2122.5889174624504
XGBoost_N_CT_random,66,A_p5_spectral_energy,0.0,3517138104119.414
XGBoost_N_CT_random,66,A_p5_spectral_centroid_hz,0.0,3404.552110382977
XGBoost_N_CT_random,66,R_p5_mean,0.0,-5.837899492371208e-17
XGBoost_N_CT_random,66,R_p5_std,0.0,20.32310407509384
XGBoost_N_CT_random,66,R_p5_rms,0.0,20.32310407509384
XGBoost_N_CT_random,66,R_p5_max,0.0,108.87090219802116
XGBoost_N_CT_random,66,R_p5_min,0.0,-100.00577680197884
XGBoost_N_CT_random,66,R_p5_peak_to_peak,0.0,208.876679
XGBoost_N_CT_random,66,R_p5_skewness,0.0,0.0440021243250211
XGBoost_N_CT_random,66,R_p5_kurtosis,0.0,1.0501438757995478
XGBoost_N_CT_random,66,R_p5_crest_factor,0.0,5.357001656624074
