rank,model,data_branch,tuning_method,validation_type,augmentation_strategy,MAE,RMSE,R2,MAPE_%,interpretation_note,branch_id
38,RandomForest,N,grid,loeo,none,48.373000000000005,60.99760946135512,-0.03304514269690051,32.345613572671766,LOEO (honest); tuning:grid,N_CT_grid
39,Ridge,A,random,loeo,feature_noise,48.93809548520257,77.97308575131426,-0.6880414754134323,29.667755654369536,LOEO (honest); aug:feature_noise; tuning:random,A_CT_random_feature_noise
40,Ridge,A,grid,loeo,feature_noise,48.93809548520257,77.97308575131426,-0.6880414754134323,29.667755654369536,LOEO (honest); aug:feature_noise; tuning:grid,A_CT_grid_feature_noise
41,XGBoost,A,grid,loeo,feature_noise,50.287594604492185,62.627548102930234,-0.08899149604347967,33.66585316217594,LOEO (honest); aug:feature_noise; tuning:grid,A_CT_grid_feature_noise
42,XGBoost,A,random,loeo,feature_noise,50.288963317871094,63.003317995207574,-0.10209875875082175,33.8745623307234,LOEO (honest); aug:feature_noise; tuning:random,A_CT_random_feature_noise
43,XGBoost,A,random,loeo,feature_scaling,50.97713928222656,63.71062605082072,-0.12698313063798272,34.34808505805856,LOEO (honest); aug:feature_scaling; tuning:random,A_CT_random_feature_scaling
44,XGBoost,A,random,loeo,grouped_scaling,51.877462768554686,64.16572342427469,-0.14314115389178794,34.955221204013796,LOEO (honest); aug:grouped_scaling; tuning:random,A_CT_random_grouped_scaling
45,XGBoost,A,grid,loeo,grouped_scaling,51.972599792480466,64.13317477265558,-0.14198171036929463,34.718379407247255,LOEO (honest); aug:grouped_scaling; tuning:grid,A_CT_grid_grouped_scaling
46,SVR,N,random,loeo,none,52.423405492922015,65.58443192477306,-0.19424984129538903,36.23388698100357,LOEO (honest); tuning:random,N_CT_random
47,SVR,N,grid,loeo,none,52.423405492922015,65.58443192477306,-0.19424984129538903,36.23388698100357,LOEO (honest); tuning:grid,N_CT_grid
48,XGBoost,A,grid,loeo,feature_scaling,52.446633911132814,66.50497234712701,-0.22801000277428862,33.89234129059767,LOEO (honest); aug:feature_scaling; tuning:grid,A_CT_grid_feature_scaling
49,RandomForest,A,none,loeo,feature_noise,52.8051107142857,65.79318209407236,-0.20186434980905155,34.24667247122933,LOEO (honest); aug:feature_noise,A_ST_feature_noise
50,SVR,A,grid,loeo,feature_noise,53.04207850368594,65.27864570265,-0.18313946640940904,34.743131318943725,LOEO (honest); aug:feature_noise; tuning:grid,A_CT_grid_feature_noise
51,SVR,A,random,loeo,feature_noise,53.06865425166992,65.29265388176418,-0.18364730193988232,34.76115190535204,LOEO (honest); aug:feature_noise; tuning:random,A_CT_random_feature_noise
52,SVR,A,random,loeo,grouped_scaling,53.07689492831132,65.24318234551029,-0.1818543079969419,34.77950269745597,LOEO (honest); aug:grouped_scaling; tuning:random,A_CT_random_grouped_scaling
53,SVR,A,grid,loeo,grouped_scaling,53.07689492831132,65.24318234551029,-0.1818543079969419,34.77950269745597,LOEO (honest); aug:grouped_scaling; tuning:grid,A_CT_grid_grouped_scaling
54,SVR,A,random,loeo,feature_scaling,53.114601318649406,65.29922659282337,-0.1838856185904092,34.7796001970245,LOEO (honest); aug:feature_scaling; tuning:random,A_CT_random_feature_scaling
55,SVR,A,grid,loeo,feature_scaling,53.114601318649406,65.29922659282337,-0.1838856185904092,34.7796001970245,LOEO (honest); aug:feature_scaling; tuning:grid,A_CT_grid_feature_scaling
56,SVR,A,none,loeo,grouped_scaling,53.631246931476674,65.24517050710853,-0.18192633860817087,34.87739859627544,LOEO (honest); aug:grouped_scaling,A_ST_grouped_scaling
57,SVR,A,none,loeo,feature_noise,53.67230013883481,65.34624766697445,-0.18559123193655291,34.88253605186713,LOEO (honest); aug:feature_noise,A_ST_feature_noise
58,SVR,A,none,loeo,feature_scaling,53.72882655728129,65.37414522994081,-0.1866037511683103,34.94860487631025,LOEO (honest); aug:feature_scaling,A_ST_feature_scaling
59,XGBoost,A,none,loeo,feature_noise,54.03581848144531,70.33116761697212,-0.3733755926708373,34.82644854303633,LOEO (honest); aug:feature_noise,A_ST_feature_noise
