model,data_branch,tuning_method,validation_type,augmentation_strategy,n_train_original,n_train_augmented,MAE,RMSE,R2,MAPE_%
XGBoost,A,none,holdout,feature_scaling,8,24,58.73772430419922,75.58419121967887,-0.13330092488255896,53.88465559362113
MLP,A,none,holdout,feature_scaling,8,24,48.457282181543064,64.69427776015014,0.1697382315200442,45.47193943830022
DummyRegressor,A,none,loeo,feature_scaling,9,27,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544
Ridge,A,none,loeo,feature_scaling,9,27,46.00336071357373,77.7613971521235,-0.6788882127696385,26.70818936403565
Lasso,A,none,loeo,feature_scaling,9,27,35.14329796436041,41.3205696328452,0.5259476871183225,22.013045688510154
ElasticNet,A,none,loeo,feature_scaling,9,27,27.06774582778623,37.06400834724107,0.6185844104394449,17.313597773414575
SVR,A,none,loeo,feature_scaling,9,27,53.72882655728129,65.37414522994081,-0.1866037511683103,34.94860487631025
RandomForest,A,none,loeo,feature_scaling,9,27,56.158825,67.8799349312459,-0.2793120913432796,37.18069892421093
XGBoost,A,none,loeo,feature_scaling,9,27,56.252793884277345,72.04039832118315,-0.4409399449354965,36.870880506937624
MLP,A,none,loeo,feature_scaling,9,27,181.91200927884802,413.70092144666427,-46.51892928203679,84.43604686048722
DummyRegressor,A,none,holdout,feature_scaling,8,24,71.0,71.26370482230067,-0.007442099781789224,47.23251436496929
Ridge,A,random,holdout,feature_scaling,8,24,21.450510355226164,29.09614136231986,0.8320600194056536,9.259470220899296
Lasso,A,random,holdout,feature_scaling,8,24,39.08766649715365,54.769061898909634,0.40494938677115755,37.745612634716444
ElasticNet,A,random,holdout,feature_scaling,8,24,20.83539460489058,28.2565186105705,0.8416126078179891,8.996136133331335
SVR,A,random,holdout,feature_scaling,8,24,70.70393130462611,71.73626785249164,-0.020847475779493196,45.33988295770912
RandomForest,A,random,holdout,feature_scaling,8,24,63.90701190476189,64.17785013167776,0.18294059759490366,45.722207582061934
XGBoost,A,random,holdout,feature_scaling,8,24,64.960693359375,65.01651847686134,0.16144660288592527,44.033716245998555
MLP,A,none,holdout,feature_scaling,8,24,48.457282181543064,64.69427776015014,0.1697382315200442,45.47193943830022
DummyRegressor,A,none,loeo,feature_scaling,9,27,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544
Ridge,A,random,loeo,feature_scaling,9,27,58.08193716835363,129.37314696930386,-3.647099321913074,28.211525310053194
Lasso,A,random,loeo,feature_scaling,9,27,35.06539413316634,43.53255669846679,0.4738349239647982,21.590627344180756
ElasticNet,A,random,loeo,feature_scaling,9,27,43.22862779838128,83.94175206315833,-0.95636430104555,22.457191482279928
