branch_id,data_branch,tuning_method,augmentation_strategy,model,MAE,RMSE,R2,MAPE_%,delta_MAE_vs_baseline,delta_RMSE_vs_baseline,delta_R2_vs_baseline,delta_MAPE_%_vs_baseline,baseline_branch,mae_interpretation
SOLO_A_N_CT_grid,N,grid,none,ElasticNet,18.789539381237695,25.649826156232226,0.8173319797525787,14.052371162921615,-8.170129002184233,-12.229076073275376,0.215703642531051,-2.985769521596522,FUSION_N_ST,mejora
SOLO_A_N_CT_random,N,random,none,ElasticNet,18.789539381237695,25.649826156232226,0.8173319797525787,14.052371162921615,-8.170129002184233,-12.229076073275376,0.215703642531051,-2.985769521596522,FUSION_N_ST,mejora
SOLO_A_A_ST_feature_noise,A,none,feature_noise,ElasticNet,21.238655974199922,28.63049728687949,0.772410902966659,14.683730807362135,-5.721012409222006,-9.248404942628113,0.1707825657451314,-2.3544098771560016,FUSION_N_ST,mejora
SOLO_A_N_ST,N,none,none,ElasticNet,21.630867359730615,29.111669986024843,0.7646967591949281,14.83546916092336,-5.328801023691312,-8.76723224348276,0.16306842197340043,-2.202671523594777,FUSION_N_ST,mejora
SOLO_A_A_CT_grid_feature_scaling,A,grid,feature_scaling,ElasticNet,22.220470106637343,28.686936786670582,0.7715127225823339,17.117982767073162,-4.739198276784585,-9.19196544283702,0.1698843853608063,0.07984208255502523,FUSION_N_ST,"marginal (<5 µm, no significativo con n=10)"
SOLO_A_A_CT_random_feature_scaling,A,random,feature_scaling,ElasticNet,22.220470106637343,28.686936786670582,0.7715127225823339,17.117982767073162,-4.739198276784585,-9.19196544283702,0.1698843853608063,0.07984208255502523,FUSION_N_ST,"marginal (<5 µm, no significativo con n=10)"
SOLO_A_A_CT_random_grouped_scaling,A,random,grouped_scaling,Ridge,22.739947537205484,30.93283900078574,0.7343356789039226,17.286024447238688,-4.219720846216443,-6.9460632287218615,0.13270734168239495,0.24788376272055146,FUSION_N_ST,"marginal (<5 µm, no significativo con n=10)"
SOLO_A_A_CT_grid_grouped_scaling,A,grid,grouped_scaling,Ridge,22.739947537205484,30.93283900078574,0.7343356789039226,17.286024447238688,-4.219720846216443,-6.9460632287218615,0.13270734168239495,0.24788376272055146,FUSION_N_ST,"marginal (<5 µm, no significativo con n=10)"
SOLO_A_A_ST_feature_scaling,A,none,feature_scaling,Ridge,23.885003115543157,31.3396118683617,0.7273026629000392,16.20636779850405,-3.074665267878771,-6.539290361145902,0.12567432567851156,-0.831772886014086,FUSION_N_ST,"marginal (<5 µm, no significativo con n=10)"
SOLO_A_A_ST_grouped_scaling,A,none,grouped_scaling,ElasticNet,23.90532808286401,30.554995793407375,0.7407861953874035,16.650082146980242,-3.054340300557918,-7.323906436100227,0.1391578581658759,-0.3880585375378942,FUSION_N_ST,"marginal (<5 µm, no significativo con n=10)"
SOLO_A_A_CT_grid_feature_noise,A,grid,feature_noise,ElasticNet,26.864211235969332,34.46415651711433,0.6702164582637167,18.400429010059323,-0.09545714745259559,-3.4147457123932696,0.06858812104218903,1.3622883255411864,FUSION_N_ST,practical tie (<1 µm)
SOLO_A_A_CT_random_feature_noise,A,random,feature_noise,ElasticNet,26.864211235969332,34.46415651711433,0.6702164582637167,18.400429010059323,-0.09545714745259559,-3.4147457123932696,0.06858812104218903,1.3622883255411864,FUSION_N_ST,practical tie (<1 µm)
