data_branch,augmentation_strategy,best_MAE_CT_grid,best_MAE_ST,best_MAE_CT_random,delta_random_vs_none,delta_grid_vs_none,delta_grid_vs_random
A,feature_noise,26.864211235969332,21.238655974199922,26.864211235969332,5.62555526176941,5.62555526176941,0.0
A,feature_scaling,22.220470106637343,23.885003115543157,22.220470106637343,-1.6645330089058135,-1.6645330089058135,0.0
A,grouped_scaling,22.739947537205484,23.90532808286401,22.739947537205484,-1.1653805456585253,-1.1653805456585253,0.0
N,none,18.789539381237695,21.630867359730615,18.789539381237695,-2.84132797849292,-2.84132797849292,0.0
