branch_id,data_branch,tuning_method,augmentation_strategy,model,MAE,RMSE,R2,MAPE_%
SOLO_A_N_CT_grid,N,grid,none,ElasticNet,18.789539381237695,25.649826156232226,0.8173319797525787,14.052371162921615
SOLO_A_N_CT_random,N,random,none,ElasticNet,18.789539381237695,25.649826156232226,0.8173319797525787,14.052371162921615
SOLO_A_A_ST_feature_noise,A,none,feature_noise,ElasticNet,21.238655974199922,28.63049728687949,0.772410902966659,14.683730807362135
SOLO_A_N_ST,N,none,none,ElasticNet,21.630867359730615,29.111669986024843,0.7646967591949281,14.83546916092336
SOLO_A_A_CT_grid_feature_scaling,A,grid,feature_scaling,ElasticNet,22.220470106637343,28.686936786670582,0.7715127225823339,17.117982767073162
SOLO_A_A_CT_random_feature_scaling,A,random,feature_scaling,ElasticNet,22.220470106637343,28.686936786670582,0.7715127225823339,17.117982767073162
SOLO_A_A_CT_random_grouped_scaling,A,random,grouped_scaling,Ridge,22.739947537205484,30.93283900078574,0.7343356789039226,17.286024447238688
SOLO_A_A_CT_grid_grouped_scaling,A,grid,grouped_scaling,Ridge,22.739947537205484,30.93283900078574,0.7343356789039226,17.286024447238688
SOLO_A_A_ST_feature_scaling,A,none,feature_scaling,Ridge,23.885003115543157,31.3396118683617,0.7273026629000392,16.20636779850405
SOLO_A_A_ST_grouped_scaling,A,none,grouped_scaling,ElasticNet,23.90532808286401,30.554995793407375,0.7407861953874035,16.650082146980242
SOLO_A_A_CT_grid_feature_noise,A,grid,feature_noise,ElasticNet,26.864211235969332,34.46415651711433,0.6702164582637167,18.400429010059323
SOLO_A_A_CT_random_feature_noise,A,random,feature_noise,ElasticNet,26.864211235969332,34.46415651711433,0.6702164582637167,18.400429010059323
FUSION_A_ST_feature_noise,A,none,feature_noise,ElasticNet,26.923591628458468,37.89671760708791,0.6012535211549672,16.99298465716858
FUSION_N_ST,N,none,none,ElasticNet,26.959668383421928,37.8789022295076,0.6016283372215276,17.038140684518137
FUSION_A_ST_grouped_scaling,A,none,grouped_scaling,ElasticNet,27.03587644172104,37.98051063313109,0.5994882435874871,17.174476760342607
FUSION_A_ST_feature_scaling,A,none,feature_scaling,ElasticNet,27.06774582778623,37.06400834724107,0.6185844104394449,17.313597773414575
FUSION_A_CT_grid_feature_scaling,A,grid,feature_scaling,ElasticNet,27.338270191138395,34.32510922172062,0.6728721452753985,17.95963096601616
FUSION_A_CT_random_feature_scaling,A,random,feature_scaling,ElasticNet,27.338270191138395,34.32510922172062,0.6728721452753985,17.95963096601616
FUSION_N_CT_grid,N,grid,none,ElasticNet,27.663196671987066,37.43323032800222,0.6109474350126566,17.164442088324098
FUSION_N_CT_random,N,random,none,ElasticNet,27.663196671987066,37.43323032800222,0.6109474350126566,17.164442088324098
FUSION_A_CT_grid_grouped_scaling,A,grid,grouped_scaling,ElasticNet,28.631686605249296,38.036378719128216,0.598309097655559,18.106731613098813
FUSION_A_CT_random_grouped_scaling,A,random,grouped_scaling,ElasticNet,28.631686605249296,38.036378719128216,0.598309097655559,18.106731613098813
SOLO_R_A_ST_feature_scaling,A,none,feature_scaling,ElasticNet,30.17538373254596,39.109063902826456,0.5753330021863727,20.05715580163005
SOLO_R_A_ST_grouped_scaling,A,none,grouped_scaling,ElasticNet,30.569514838352426,39.495579563560796,0.5668975383607249,20.437173565692785
SOLO_R_N_ST,N,none,none,ElasticNet,30.947568337376413,40.38287131045267,0.5472191401046227,20.522088167744666
SOLO_R_A_CT_random_feature_noise,A,random,feature_noise,ElasticNet,31.046308954968538,40.50616987342628,0.5444500226796679,20.560324786648714
SOLO_R_A_ST_feature_noise,A,none,feature_noise,ElasticNet,31.046308954968538,40.50616987342628,0.5444500226796679,20.560324786648714
SOLO_R_A_CT_grid_feature_noise,A,grid,feature_noise,ElasticNet,31.046308954968538,40.50616987342628,0.5444500226796679,20.560324786648714
SOLO_R_A_CT_random_feature_scaling,A,random,feature_scaling,ElasticNet,31.2438657176644,37.19559634847327,0.615871330481369,20.52102960114038
SOLO_R_A_CT_grid_feature_scaling,A,grid,feature_scaling,ElasticNet,31.2438657176644,37.19559634847327,0.615871330481369,20.52102960114038
SOLO_R_A_CT_grid_grouped_scaling,A,grid,grouped_scaling,ElasticNet,31.5782936423632,37.248268075777766,0.614782650743122,21.096541891808812
SOLO_R_A_CT_random_grouped_scaling,A,random,grouped_scaling,ElasticNet,31.5782936423632,37.248268075777766,0.614782650743122,21.096541891808812
SOLO_R_N_CT_grid,N,grid,none,ElasticNet,33.261153534108395,37.38160503591478,0.6120198031865237,21.784892753433272
SOLO_R_N_CT_random,N,random,none,ElasticNet,33.261153534108395,37.38160503591478,0.6120198031865237,21.784892753433272
FUSION_A_CT_grid_feature_noise,A,grid,feature_noise,Lasso,35.983168579219885,48.208122937150755,0.354740936303946,22.197747111771655
FUSION_A_CT_random_feature_noise,A,random,feature_noise,Lasso,35.983168579219885,48.208122937150755,0.354740936303946,22.197747111771655
