branch_id,data_branch,tuning_branch,tuning_method,augmentation_strategy,validation_type,models_run,status,notes,duration_sec
N_ST,N,ST,none,none,holdout+loeo,all_baselines,OK,,5.0
N_CT_random,N,CT,random,none,holdout+loeo,all_baselines,OK,,14.6
N_CT_grid,N,CT,grid,none,holdout+loeo,all_baselines,OK,,11.2
A_ST_feature_noise,A,ST,none,feature_noise,holdout+loeo,all_baselines,OK,,6.2
A_CT_random_feature_noise,A,CT,random,feature_noise,holdout+loeo,all_baselines,OK,,10.4
A_CT_grid_feature_noise,A,CT,grid,feature_noise,holdout+loeo,all_baselines,OK,,13.5
A_ST_feature_scaling,A,ST,none,feature_scaling,holdout+loeo,all_baselines,OK,,9.5
A_CT_random_feature_scaling,A,CT,random,feature_scaling,holdout+loeo,all_baselines,OK,,13.5
A_CT_grid_feature_scaling,A,CT,grid,feature_scaling,holdout+loeo,all_baselines,OK,,17.0
A_ST_grouped_scaling,A,ST,none,grouped_scaling,holdout+loeo,all_baselines,OK,,9.6
A_CT_random_grouped_scaling,A,CT,random,grouped_scaling,holdout+loeo,all_baselines,OK,,11.7
A_CT_grid_grouped_scaling,A,CT,grid,grouped_scaling,holdout+loeo,all_baselines,OK,,14.6
