model,data_branch,tuning_method,validation_type,augmentation_strategy,branch_id,best_params,best_cv_score,scoring,notes
MLP,A,none,holdout,feature_noise,A_CT_random_feature_noise,{},,neg_mean_absolute_error,"{""method"": ""none""}"
DummyRegressor,A,none,holdout,feature_noise,A_CT_grid_feature_noise,{},,neg_mean_absolute_error,"{""method"": ""none""}"
Ridge,A,grid,holdout,feature_noise,A_CT_grid_feature_noise,"{""model__alpha"": 0.01}",29.117108320040916,neg_mean_absolute_error,"{""method"": ""grid"", ""n_candidates"": 5}"
Lasso,A,grid,holdout,feature_noise,A_CT_grid_feature_noise,"{""model__alpha"": 0.01}",33.38009213077913,neg_mean_absolute_error,"{""method"": ""grid"", ""n_candidates"": 5}"
ElasticNet,A,grid,holdout,feature_noise,A_CT_grid_feature_noise,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.3}",32.42459333703482,neg_mean_absolute_error,"{""method"": ""grid"", ""n_candidates"": 20}"
SVR,A,grid,holdout,feature_noise,A_CT_grid_feature_noise,"{""model__C"": 10, ""model__epsilon"": 10, ""model__gamma"": ""auto""}",37.30048631490864,neg_mean_absolute_error,"{""method"": ""grid"", ""n_candidates"": 32}"
RandomForest,A,grid,holdout,feature_noise,A_CT_grid_feature_noise,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 100}",35.91748787878788,neg_mean_absolute_error,"{""method"": ""grid"", ""n_candidates"": 36}"
XGBoost,A,grid,holdout,feature_noise,A_CT_grid_feature_noise,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.01, ""model__max_depth"": 1, ""model__n_estimators"": 100, ""model__reg_lambda"": 10, ""model__subsample"": 0.8}",32.916175842285156,neg_mean_absolute_error,"{""method"": ""grid"", ""n_candidates"": 54}"
MLP,A,none,holdout,feature_noise,A_CT_grid_feature_noise,{},,neg_mean_absolute_error,"{""method"": ""none""}"
DummyRegressor,A,none,holdout,feature_scaling,A_ST_feature_scaling,{},,neg_mean_absolute_error,"{""method"": ""none""}"
Ridge,A,none,holdout,feature_scaling,A_ST_feature_scaling,{},,neg_mean_absolute_error,"{""method"": ""none""}"
Lasso,A,none,holdout,feature_scaling,A_ST_feature_scaling,{},,neg_mean_absolute_error,"{""method"": ""none""}"
ElasticNet,A,none,holdout,feature_scaling,A_ST_feature_scaling,{},,neg_mean_absolute_error,"{""method"": ""none""}"
SVR,A,none,holdout,feature_scaling,A_ST_feature_scaling,{},,neg_mean_absolute_error,"{""method"": ""none""}"
RandomForest,A,none,holdout,feature_scaling,A_ST_feature_scaling,{},,neg_mean_absolute_error,"{""method"": ""none""}"
XGBoost,A,none,holdout,feature_scaling,A_ST_feature_scaling,{},,neg_mean_absolute_error,"{""method"": ""none""}"
MLP,A,none,holdout,feature_scaling,A_ST_feature_scaling,{},,neg_mean_absolute_error,"{""method"": ""none""}"
DummyRegressor,A,none,holdout,feature_scaling,A_CT_random_feature_scaling,{},,neg_mean_absolute_error,"{""method"": ""none""}"
Ridge,A,random,holdout,feature_scaling,A_CT_random_feature_scaling,"{""model__alpha"": 0.01}",44.18696793336339,neg_mean_absolute_error,"{""method"": ""random"", ""n_candidates"": 5}"
Lasso,A,random,holdout,feature_scaling,A_CT_random_feature_scaling,"{""model__alpha"": 0.01}",34.80701146896452,neg_mean_absolute_error,"{""method"": ""random"", ""n_candidates"": 5}"
ElasticNet,A,random,holdout,feature_scaling,A_CT_random_feature_scaling,"{""model__l1_ratio"": 0.5, ""model__alpha"": 0.01}",30.24791346471024,neg_mean_absolute_error,"{""method"": ""random"", ""n_candidates"": 20}"
SVR,A,random,holdout,feature_scaling,A_CT_random_feature_scaling,"{""model__gamma"": ""scale"", ""model__epsilon"": 10, ""model__C"": 10}",37.214941170315626,neg_mean_absolute_error,"{""method"": ""random"", ""n_candidates"": 20}"
RandomForest,A,random,holdout,feature_scaling,A_CT_random_feature_scaling,"{""model__n_estimators"": 100, ""model__min_samples_leaf"": 2, ""model__max_depth"": null}",35.48387817460316,neg_mean_absolute_error,"{""method"": ""random"", ""n_candidates"": 20}"
XGBoost,A,random,holdout,feature_scaling,A_CT_random_feature_scaling,"{""model__subsample"": 0.6, ""model__reg_lambda"": 10, ""model__n_estimators"": 100, ""model__max_depth"": 1, ""model__learning_rate"": 0.01, ""model__colsample_bytree"": 0.8}",31.968702697753905,neg_mean_absolute_error,"{""method"": ""random"", ""n_candidates"": 20}"
MLP,A,none,holdout,feature_scaling,A_CT_random_feature_scaling,{},,neg_mean_absolute_error,"{""method"": ""none""}"
DummyRegressor,A,none,holdout,feature_scaling,A_CT_grid_feature_scaling,{},,neg_mean_absolute_error,"{""method"": ""none""}"
Ridge,A,grid,holdout,feature_scaling,A_CT_grid_feature_scaling,"{""model__alpha"": 0.01}",44.18696793336339,neg_mean_absolute_error,"{""method"": ""grid"", ""n_candidates"": 5}"
Lasso,A,grid,holdout,feature_scaling,A_CT_grid_feature_scaling,"{""model__alpha"": 0.01}",34.80701146896452,neg_mean_absolute_error,"{""method"": ""grid"", ""n_candidates"": 5}"
ElasticNet,A,grid,holdout,feature_scaling,A_CT_grid_feature_scaling,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.5}",30.24791346471024,neg_mean_absolute_error,"{""method"": ""grid"", ""n_candidates"": 20}"
