model,data_branch,tuning_branch,tuning_method,validation_type,augmentation_strategy,branch_id,MAE,RMSE,R2,MAPE_%,n_train,n_train_original,n_train_augmented,n_test,n_folds,notes
SVR,N,CT,grid,loeo,none,N_CT_grid,52.423405492922015,65.58443192477306,-0.19424984129538903,36.23388698100357,9,9,0,10,10,
RandomForest,N,CT,grid,loeo,none,N_CT_grid,48.373000000000005,60.99760946135512,-0.03304514269690051,32.345613572671766,9,9,0,10,10,
XGBoost,N,CT,grid,loeo,none,N_CT_grid,48.29400787353516,62.533965479567925,-0.08573942749092578,30.743370666218993,9,9,0,10,10,
MLP,N,CT,none,loeo,none,N_CT_grid,167.32543296709997,360.68484654577077,-35.120143190487305,80.90940347924183,9,9,0,10,10,
DummyRegressor,A,ST,none,holdout,feature_noise,A_ST_feature_noise,71.0,71.26370482230067,-0.007442099781789224,47.23251436496929,32,8,24,2,1,
Ridge,A,ST,none,holdout,feature_noise,A_ST_feature_noise,16.901331140567592,22.961992390225642,0.8954070433388652,7.280556185063551,32,8,24,2,1,
Lasso,A,ST,none,holdout,feature_noise,A_ST_feature_noise,8.497739563886569,9.113894168572946,0.9835225020995937,4.932519649917879,32,8,24,2,1,
ElasticNet,A,ST,none,holdout,feature_noise,A_ST_feature_noise,30.92720127682611,31.169626609351173,0.8072712511473175,20.233239976081975,32,8,24,2,1,
SVR,A,ST,none,holdout,feature_noise,A_ST_feature_noise,70.6545897112699,72.01397167575949,-0.02876653769432469,44.79941847959725,32,8,24,2,1,
RandomForest,A,ST,none,holdout,feature_noise,A_ST_feature_noise,64.06695833333332,64.38297481253724,0.17770929464157825,45.96792764678686,32,8,24,2,1,
XGBoost,A,ST,none,holdout,feature_noise,A_ST_feature_noise,64.51043701171875,76.18103491735259,-0.15126960545108004,55.881945430724635,32,8,24,2,1,
MLP,A,ST,none,holdout,feature_noise,A_ST_feature_noise,79.91949285624246,105.22841343204307,-1.1965917463648048,74.36574787572201,32,8,24,2,1,
DummyRegressor,A,ST,none,loeo,feature_noise,A_ST_feature_noise,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,A,ST,none,loeo,feature_noise,A_ST_feature_noise,43.24379058988059,65.25279451387938,-0.18220257486640068,27.14617301002954,36,9,27,10,10,
Lasso,A,ST,none,loeo,feature_noise,A_ST_feature_noise,33.76470611813842,40.043827934874066,0.554790069195905,21.666762231663945,36,9,27,10,10,
ElasticNet,A,ST,none,loeo,feature_noise,A_ST_feature_noise,26.923591628458468,37.89671760708791,0.6012535211549672,16.99298465716858,36,9,27,10,10,
SVR,A,ST,none,loeo,feature_noise,A_ST_feature_noise,53.67230013883481,65.34624766697445,-0.18559123193655291,34.88253605186713,36,9,27,10,10,
RandomForest,A,ST,none,loeo,feature_noise,A_ST_feature_noise,52.8051107142857,65.79318209407236,-0.20186434980905155,34.24667247122933,36,9,27,10,10,
XGBoost,A,ST,none,loeo,feature_noise,A_ST_feature_noise,54.03581848144531,70.33116761697212,-0.3733755926708373,34.82644854303633,36,9,27,10,10,
MLP,A,ST,none,loeo,feature_noise,A_ST_feature_noise,162.26953921491787,347.87750455825153,-32.60054812537346,79.38842953058452,36,9,27,10,10,
DummyRegressor,A,CT,none,holdout,feature_noise,A_CT_random_feature_noise,71.0,71.26370482230067,-0.007442099781789224,47.23251436496929,32,8,24,2,1,
Ridge,A,CT,random,holdout,feature_noise,A_CT_random_feature_noise,16.091596149837905,22.396009377143532,0.9004996556196982,6.712793235067525,32,8,24,2,1,
Lasso,A,CT,random,holdout,feature_noise,A_CT_random_feature_noise,16.3296082242504,17.285505930408647,0.9407282850088886,12.854447510376824,32,8,24,2,1,
ElasticNet,A,CT,random,holdout,feature_noise,A_CT_random_feature_noise,33.44977778775967,33.514772311902355,0.777179138441052,22.47727147519425,32,8,24,2,1,
SVR,A,CT,random,holdout,feature_noise,A_CT_random_feature_noise,70.7350823218843,71.71700857923827,-0.020299408759082427,45.4455667381364,32,8,24,2,1,
RandomForest,A,CT,random,holdout,feature_noise,A_CT_random_feature_noise,64.04625653513152,64.13718642289635,0.1839756631133983,45.12164002944415,32,8,24,2,1,
XGBoost,A,CT,random,holdout,feature_noise,A_CT_random_feature_noise,64.56336212158203,64.6719420570204,0.1703114284017846,43.46368328991658,32,8,24,2,1,
MLP,A,CT,none,holdout,feature_noise,A_CT_random_feature_noise,79.91949285624246,105.22841343204307,-1.1965917463648048,74.36574787572201,32,8,24,2,1,
DummyRegressor,A,CT,none,loeo,feature_noise,A_CT_random_feature_noise,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,A,CT,random,loeo,feature_noise,A_CT_random_feature_noise,48.93809548520257,77.97308575131426,-0.6880414754134323,29.667755654369536,36,9,27,10,10,
Lasso,A,CT,random,loeo,feature_noise,A_CT_random_feature_noise,35.983168579219885,48.208122937150755,0.354740936303946,22.197747111771655,36,9,27,10,10,
ElasticNet,A,CT,random,loeo,feature_noise,A_CT_random_feature_noise,30.570234318150916,39.72042348933228,0.5619522940142267,20.957284125205923,36,9,27,10,10,
SVR,A,CT,random,loeo,feature_noise,A_CT_random_feature_noise,53.06865425166992,65.29265388176418,-0.18364730193988232,34.76115190535204,36,9,27,10,10,
RandomForest,A,CT,random,loeo,feature_noise,A_CT_random_feature_noise,54.643371753246775,66.93947103571286,-0.2441083998181519,35.17237325072548,36,9,27,10,10,
XGBoost,A,CT,random,loeo,feature_noise,A_CT_random_feature_noise,50.288963317871094,63.003317995207574,-0.10209875875082175,33.8745623307234,36,9,27,10,10,
MLP,A,CT,none,loeo,feature_noise,A_CT_random_feature_noise,162.26953921491787,347.87750455825153,-32.60054812537346,79.38842953058452,36,9,27,10,10,
DummyRegressor,A,CT,none,holdout,feature_noise,A_CT_grid_feature_noise,71.0,71.26370482230067,-0.007442099781789224,47.23251436496929,32,8,24,2,1,
Ridge,A,CT,grid,holdout,feature_noise,A_CT_grid_feature_noise,16.091596149837905,22.396009377143532,0.9004996556196982,6.712793235067525,32,8,24,2,1,
Lasso,A,CT,grid,holdout,feature_noise,A_CT_grid_feature_noise,16.3296082242504,17.285505930408647,0.9407282850088886,12.854447510376824,32,8,24,2,1,
ElasticNet,A,CT,grid,holdout,feature_noise,A_CT_grid_feature_noise,33.44977778775967,33.514772311902355,0.777179138441052,22.47727147519425,32,8,24,2,1,
SVR,A,CT,grid,holdout,feature_noise,A_CT_grid_feature_noise,70.72457543492172,71.71108470127147,-0.020130860748448942,45.43075792016833,32,8,24,2,1,
RandomForest,A,CT,grid,holdout,feature_noise,A_CT_grid_feature_noise,64.0462565351315,64.13718642289633,0.18397566311339864,45.121640029444144,32,8,24,2,1,
XGBoost,A,CT,grid,holdout,feature_noise,A_CT_grid_feature_noise,65.73235321044922,65.8969752207809,0.13858136416421107,44.013964745793835,32,8,24,2,1,
MLP,A,CT,none,holdout,feature_noise,A_CT_grid_feature_noise,79.91949285624246,105.22841343204307,-1.1965917463648048,74.36574787572201,32,8,24,2,1,
DummyRegressor,A,CT,none,loeo,feature_noise,A_CT_grid_feature_noise,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,A,CT,grid,loeo,feature_noise,A_CT_grid_feature_noise,48.93809548520257,77.97308575131426,-0.6880414754134323,29.667755654369536,36,9,27,10,10,
Lasso,A,CT,grid,loeo,feature_noise,A_CT_grid_feature_noise,35.983168579219885,48.208122937150755,0.354740936303946,22.197747111771655,36,9,27,10,10,
