data_branch,augmentation_strategy,best_MAE_CT_grid,best_MAE_ST,best_MAE_CT_random,delta_random_vs_none,delta_grid_vs_none,delta_grid_vs_random
A,feature_noise,35.98316857921169,26.92359162845846,35.98316857921169,9.059576950753232,9.059576950753232,0.0
A,feature_scaling,27.33827019113839,27.067745827786258,27.33827019113839,0.2705243633521306,0.2705243633521306,0.0
A,grouped_scaling,28.63168660524925,27.03587644172101,28.63168660524925,1.5958101635282418,1.5958101635282418,0.0
N,none,27.663196671987105,26.959668383421967,27.663196671987105,0.7035282885651384,0.7035282885651384,0.0
