model,data_branch,tuning_branch,tuning_method,validation_type,augmentation_strategy,branch_id,MAE,RMSE,R2,MAPE_%,n_train,n_train_original,n_train_augmented,n_test,n_folds,notes
Ridge,A,CT,grid,loeo,feature_noise,A_CT_grid_feature_noise,41.51559510077402,64.01920604083557,-0.13792656838843897,25.419786505838417,36,9,27,10,10,
Lasso,A,CT,grid,loeo,feature_noise,A_CT_grid_feature_noise,35.98316857921169,48.208122937141184,0.35474093630420234,22.197747111766837,36,9,27,10,10,
ElasticNet,A,CT,grid,loeo,feature_noise,A_CT_grid_feature_noise,36.62542542163622,55.8801552157735,0.13302040238362056,22.002929265498,36,9,27,10,10,
SVR,A,CT,grid,loeo,feature_noise,A_CT_grid_feature_noise,53.744260977424496,65.40412065353831,-0.18769216630598362,34.946902750369084,36,9,27,10,10,
RandomForest,A,CT,grid,loeo,feature_noise,A_CT_grid_feature_noise,52.61800000000001,65.76049045589609,-0.2006702700676628,34.18889067753754,36,9,27,10,10,
XGBoost,A,CT,grid,loeo,feature_noise,A_CT_grid_feature_noise,51.489996337890624,62.83440995587233,-0.09619736137830515,32.41715345139697,36,9,27,10,10,
MLP,A,CT,none,loeo,feature_noise,A_CT_grid_feature_noise,162.26953921491787,347.87750455825153,-32.60054812537346,79.38842953058452,36,9,27,10,10,
DummyRegressor,A,ST,none,loeo,feature_scaling,A_ST_feature_scaling,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,A,ST,none,loeo,feature_scaling,A_ST_feature_scaling,46.00336071357373,77.7613971521235,-0.6788882127696385,26.70818936403565,36,9,27,10,10,
Lasso,A,ST,none,loeo,feature_scaling,A_ST_feature_scaling,35.14329796436037,41.32056963284511,0.5259476871183246,22.013045688510086,36,9,27,10,10,
ElasticNet,A,ST,none,loeo,feature_scaling,A_ST_feature_scaling,27.067745827786258,37.06400834724109,0.6185844104394445,17.313597773414603,36,9,27,10,10,
SVR,A,ST,none,loeo,feature_scaling,A_ST_feature_scaling,53.72882655728129,65.37414522994081,-0.1866037511683103,34.94860487631025,36,9,27,10,10,
RandomForest,A,ST,none,loeo,feature_scaling,A_ST_feature_scaling,56.158825,67.8799349312459,-0.2793120913432796,37.18069892421092,36,9,27,10,10,
