branch_id,data_branch,tuning_branch,tuning_method,augmentation_strategy,validation_type,models_run,status,notes,duration_sec
N_ST,N,ST,none,none,loeo,all_baselines,OK,,5.7
N_CT_random,N,CT,random,none,loeo,all_baselines,OK,,15.1
N_CT_grid,N,CT,grid,none,loeo,all_baselines,OK,,10.1
A_ST_feature_noise,A,ST,none,feature_noise,loeo,all_baselines,OK,,6.1
A_CT_random_feature_noise,A,CT,random,feature_noise,loeo,all_baselines,OK,,8.8
A_CT_grid_feature_noise,A,CT,grid,feature_noise,loeo,all_baselines,OK,,11.7
A_ST_feature_scaling,A,ST,none,feature_scaling,loeo,all_baselines,OK,,9.5
A_CT_random_feature_scaling,A,CT,random,feature_scaling,loeo,all_baselines,OK,,12.4
A_CT_grid_feature_scaling,A,CT,grid,feature_scaling,loeo,all_baselines,OK,,15.5
A_ST_grouped_scaling,A,ST,none,grouped_scaling,loeo,all_baselines,OK,,9.4
A_CT_random_grouped_scaling,A,CT,random,grouped_scaling,loeo,all_baselines,OK,,12.7
A_CT_grid_grouped_scaling,A,CT,grid,grouped_scaling,loeo,all_baselines,OK,,15.9
